Assembly	Level	WGS	BioSample	Isolate	Taxonomy
GCA_012522635.1	Contig	JAAYKA000000000	SAMN13893993	AS10tlH2TH_368	Candidatus Cloacimonetes bacterium	
GCA_012515955.1	Contig	JAAYXK000000000	SAMN13894397	AS06rmzACSIP_144	Candidatus Cloacimonetes bacterium	
GCA_012516855.1	Contig	JAAYWB000000000	SAMN13894324	AS4BglBPHE_14	Candidatus Cloacimonetes bacterium	
GCA_012519465.1	Contig	JAAYQD000000000	SAMN13894152	AS22ysBPME_313	Candidatus Cloacimonetes bacterium	
GCA_012510595.1	Contig	JAAZHS000000000	SAMN13894727	AS16jrsBPLL_22	Candidatus Cloacimonetes bacterium	
GCA_012797315.1	Contig	JAAZPJ000000000	SAMN13894935	AS4BglBPHE_30	Candidatus Cloacimonetes bacterium	
GCA_012839325.1	Contig	DUNQ00000000	SAMN13893625	AS05jafATM_99	Candidatus Cloacimonetes bacterium	
GCA_012842985.1	Contig	DURV00000000	SAMN13894256	AS26fmACSIPLY_16	Candidatus Cloacimonetes bacterium	
GCA_012799645.1	Contig	JAAZKV000000000	SAMN13894808	AS22ysBPME_79	Candidatus Diapherotrites archaeon	
GCA_012800885.1	Contig	JAAZIL000000000	SAMN13894746	AS19jrsBPTG_9	Candidatus Dojkabacteria bacterium	
GCA_012842045.1	Contig	DUTP00000000	SAMN13894391	AS05jafATM_89	Candidatus Dojkabacteria bacterium	
GCA_012514355.1	Contig	JAAZAL000000000	SAMN13894476	AS06rmzACSIP_421	Candidatus Dojkabacteria bacterium	
GCA_012513575.1	Contig	JAAZBX000000000	SAMN13894514	AS06rmzACSIP_65	Candidatus Dojkabacteria bacterium	
GCA_012511375.1	Contig	JAAZGF000000000	SAMN13894688	AS10tlH2TH_344	Candidatus Dojkabacteria bacterium	
GCA_012800315.1	Contig	JAAZJO000000000	SAMN13894775	AS21ysBPME_294	Candidatus Falkowbacteria bacterium	
GCA_012516735.1	Contig	JAAYWI000000000	SAMN13894331	AS4DglBPLU_32	Candidatus Fermentibacter daniensis	
GCA_012523605.1	Contig	JAAYTY000000000	SAMN13894269	AS27yjCOA_107	Candidatus Fermentibacteria bacterium	
GCA_012515355.1	Contig	JAAYYN000000000	SAMN13894426	AS06rmzACSIP_232	Candidatus Gastranaerophilales bacterium	
GCA_012515115.1	Contig	JAAYYZ000000000	SAMN13894438	AS06rmzACSIP_274	Candidatus Hydrogenedens sp.	
GCA_012522755.1	Contig	JAAYJV000000000	SAMN13893988	AS10tlH2TH_339	Candidatus Hydrogenedens sp.	
GCA_012523015.1	Contig	JAAYJI000000000	SAMN13893975	AS10tlH2TH_263	Candidatus Hydrogenedentes bacterium	
GCA_012730045.1	Contig	JAAYBR000000000	SAMN13893663	AS06rmzACSIP_344	Candidatus Hydrogenedentes bacterium	
GCA_012730105.1	Contig	JAAYBJ000000000	SAMN13893655	AS06rmzACSIP_301	Candidatus Hydrogenedentes bacterium	
GCA_012719295.1	Contig	JAAYAQ000000000	SAMN13893636	AS06rmzACSIP_151	Candidatus Hydrogenedentes bacterium	
GCA_012797775.1	Contig	JAAZOM000000000	SAMN13894912	AS27yjCOA_59	Candidatus Kuenenbacteria bacterium	
GCA_012798565.1	Contig	JAAZMX000000000	SAMN13894871	AS27yjCOA_103	Candidatus Kuenenbacteria bacterium	
GCA_012798355.1	Contig	JAAZNI000000000	SAMN13894882	AS27yjCOA_147	Candidatus Lokiarchaeota archaeon	
GCA_012800155.1	Contig	JAAZJX000000000	SAMN13894784	AS22ysBPME_155	Candidatus Magasanikbacteria bacterium	
GCA_012510545.1	Contig	JAAZHT000000000	SAMN13894728	AS16jrsBPLL_3	Candidatus Marinimicrobia bacterium	
GCA_012521495.1	Contig	JAAYME000000000	SAMN13894049	AS20ysBPTH_159	Candidatus Methanoculleus thermohydrogenotrophicum	
GCA_012799835.1	Contig	JAAZKM000000000	SAMN13894799	AS22ysBPME_302	Candidatus Methanofastidiosa archaeon	
GCA_012797855.1	Contig	JAAZOJ000000000	SAMN13894909	AS27yjCOA_5	Candidatus Methanofastidiosa archaeon	
GCA_012797645.1	Contig	JAAZOS000000000	SAMN13894918	AS27yjCOA_88	Candidatus Methanofastidiosa archaeon	
GCA_012797935.1	Contig	JAAZOC000000000	SAMN13894902	AS27yjCOA_24	Candidatus Microgenomates bacterium	
GCA_012516765.1	Contig	JAAYWG000000000	SAMN13894329	AS4BglBPHE_34	Candidatus Microthrix parvicella	
GCA_012512715.1	Contig	JAAZDS000000000	SAMN13894623	AS09scLD_175	Candidatus Moranbacteria bacterium	
GCA_012797475.1	Contig	JAAZPB000000000	SAMN13894927	AS4AglBPMA_3	Candidatus Moranbacteria bacterium	
GCA_012841575.1	Contig	DUUL00000000	SAMN13894564	AS08sgBPME_209	Candidatus Moranbacteria bacterium	
GCA_012799795.1	Contig	JAAZKO000000000	SAMN13894801	AS22ysBPME_311	Candidatus Pacebacteria bacterium	
GCA_012515515.1	Contig	JAAYYE000000000	SAMN13894417	AS06rmzACSIP_209	Candidatus Pacebacteria bacterium	
GCA_012515645.1	Contig	JAAYXY000000000	SAMN13894411	AS06rmzACSIP_191	Candidatus Peribacteria bacterium	
GCA_012519065.1	Contig	JAAYQV000000000	SAMN13894170	AS23ysBPME_113	Candidatus Phytoplasma sp.	
GCA_012517355.1	Contig	JAAYVD000000000	SAMN13894300	AS27yjCOA_28	Candidatus Riflebacteria bacterium	
GCA_012515325.1	Contig	JAAYYO000000000	SAMN13894427	AS06rmzACSIP_234	Candidatus Riflebacteria bacterium	
GCA_012727975.1	Contig	JAAYGC000000000	SAMN13893878	AS09scLD_169	Candidatus Riflebacteria bacterium	
GCA_012520995.1	Contig	JAAYNI000000000	SAMN13894079	AS21ysBPME_135	Candidatus Riflebacteria bacterium	
GCA_012798265.1	Contig	JAAZNM000000000	SAMN13894886	AS27yjCOA_175	Candidatus Roizmanbacteria bacterium	
GCA_012510635.1	Contig	JAAZHO000000000	SAMN13894723	AS15tlH2ME_34	Candidatus Saccharibacteria bacterium	
GCA_012513815.1	Contig	JAAZBM000000000	SAMN13894503	AS06rmzACSIP_6	Candidatus Sumerlaeota bacterium	
GCA_012798335.1	Contig	JAAZNJ000000000	SAMN13894883	AS27yjCOA_155	Candidatus Woesearchaeota archaeon	
GCA_012729785.1	Contig	JAAYCL000000000	SAMN13893683	AS06rmzACSIP_427	Chlamydiae bacterium	
GCA_012841665.1	Contig	DUUH00000000	SAMN13894560	AS08sgBPME_189	Chloroflexi bacterium	
GCA_012841405.1	Contig	DUUT00000000	SAMN13894572	AS08sgBPME_257	Chloroflexi bacterium	
GCA_012842785.1	Contig	DUWG00000000	SAMN13894866	AS26fmACSIPLY_11	Chloroflexi bacterium	
GCA_012842835.1	Contig	DUWE00000000	SAMN13894864	AS25fmACSIPFO_32	Chloroflexi bacterium	
GCA_012840685.1	Contig	DURX00000000	SAMN13894258	AS26fmACSIPLY_24	Chloroflexi bacterium	
GCA_012841075.1	Contig	DUVJ00000000	SAMN13894588	AS08sgBPME_373	Chloroflexi bacterium	
GCA_012798515.1	Contig	JAAZNB000000000	SAMN13894875	AS27yjCOA_123	Chloroflexi bacterium	
GCA_012798275.1	Contig	JAAZNO000000000	SAMN13894888	AS27yjCOA_183	Chloroflexi bacterium	
GCA_012798185.1	Contig	JAAZNS000000000	SAMN13894892	AS27yjCOA_192	Chloroflexi bacterium	
GCA_012798465.1	Contig	JAAZNE000000000	SAMN13894878	AS27yjCOA_133	Chloroflexi bacterium	
GCA_012798455.1	Contig	JAAZNC000000000	SAMN13894876	AS27yjCOA_124	Chloroflexi bacterium	
GCA_012798615.1	Contig	JAAZMW000000000	SAMN13894870	AS27yjCOA_1	Chloroflexi bacterium	
GCA_012797675.1	Contig	JAAZOR000000000	SAMN13894917	AS27yjCOA_82	Chloroflexi bacterium	
GCA_012798065.1	Contig	JAAZNW000000000	SAMN13894896	AS27yjCOA_203	Chloroflexi bacterium	
GCA_012797815.1	Contig	JAAZOK000000000	SAMN13894910	AS27yjCOA_56	Chloroflexi bacterium	
GCA_012798015.1	Contig	JAAZNY000000000	SAMN13894898	AS27yjCOA_207	Chloroflexi bacterium	
GCA_012797895.1	Contig	JAAZOG000000000	SAMN13894906	AS27yjCOA_4	Chloroflexi bacterium	
GCA_012799995.1	Contig	JAAZKE000000000	SAMN13894791	AS22ysBPME_200	Chloroflexi bacterium	
GCA_012800995.1	Contig	JAAZIH000000000	SAMN13894742	AS19jrsBPTG_31	Chloroflexi bacterium	
GCA_012797225.1	Contig	JAAZPM000000000	SAMN13894938	AS4EglBPAV_12	Chloroflexi bacterium	
GCA_012797215.1	Contig	JAAZPN000000000	SAMN13894939	AS4EglBPAV_13	Chloroflexi bacterium	
GCA_012729765.1	Contig	JAAYCM000000000	SAMN13893684	AS06rmzACSIP_45	Chloroflexi bacterium	
GCA_012729755.1	Contig	JAAYCN000000000	SAMN13893685	AS06rmzACSIP_450	Chloroflexi bacterium	
GCA_012729455.1	Contig	JAAYDC000000000	SAMN13893700	AS06rmzACSIP_523	Chloroflexi bacterium	
GCA_012729155.1	Contig	JAAYDS000000000	SAMN13893716	AS06rmzACSIP_578	Chloroflexi bacterium	
GCA_012728955.1	Contig	JAAYED000000000	SAMN13893727	AS06rmzACSIP_616	Chloroflexi bacterium	
GCA_012719135.1	Contig	JAAYAW000000000	SAMN13893642	AS06rmzACSIP_196	Chloroflexi bacterium	
GCA_012689325.1	Contig	JAAYEA000000000	SAMN13893724	AS06rmzACSIP_605	Chloroflexi bacterium	
GCA_012522475.1	Contig	JAAYKH000000000	SAMN13894000	AS10tlH2TH_389	Chloroflexi bacterium	
GCA_012516245.1	Contig	JAAYWT000000000	SAMN13894342	AS01afH2WH_15	Chloroflexi bacterium	
GCA_012516155.1	Contig	JAAYXA000000000	SAMN13894349	AS01afH2WH_7	Chloroflexi bacterium	
GCA_012515565.1	Contig	JAAYYC000000000	SAMN13894415	AS06rmzACSIP_20	Chloroflexi bacterium	
GCA_012515695.1	Contig	JAAYXX000000000	SAMN13894410	AS06rmzACSIP_190	Chloroflexi bacterium	
GCA_012516075.1	Contig	JAAYXE000000000	SAMN13894353	AS02xzSISU_56	Chloroflexi bacterium	
GCA_012515815.1	Contig	JAAYXP000000000	SAMN13894402	AS06rmzACSIP_166	Chloroflexi bacterium	
GCA_012517865.1	Contig	JAAYUC000000000	SAMN13894273	AS27yjCOA_130	Chloroflexi bacterium	
GCA_012513595.1	Contig	JAAZBY000000000	SAMN13894515	AS06rmzACSIP_78	Chloroflexi bacterium	
GCA_012513725.1	Contig	JAAZBQ000000000	SAMN13894507	AS06rmzACSIP_617	Chloroflexi bacterium	
GCA_012515245.1	Contig	JAAYYS000000000	SAMN13894431	AS06rmzACSIP_248	Chloroflexi bacterium	
GCA_012515125.1	Contig	JAAYYY000000000	SAMN13894437	AS06rmzACSIP_272	Chloroflexi bacterium	
GCA_012514725.1	Contig	JAAYZS000000000	SAMN13894457	AS06rmzACSIP_346	Chloroflexi bacterium	
GCA_012514315.1	Contig	JAAZAN000000000	SAMN13894478	AS06rmzACSIP_429	Chloroflexi bacterium	
GCA_012514645.1	Contig	JAAYZW000000000	SAMN13894461	AS06rmzACSIP_362	Chloroflexi bacterium	
GCA_012514435.1	Contig	JAAZAG000000000	SAMN13894471	AS06rmzACSIP_406	Chloroflexi bacterium	
GCA_012514615.1	Contig	JAAYZY000000000	SAMN13894463	AS06rmzACSIP_37	Chloroflexi bacterium	
GCA_012512625.1	Contig	JAAZDV000000000	SAMN13894626	AS09scLD_222	Chloroflexi bacterium	
GCA_012512535.1	Contig	JAAZEA000000000	SAMN13894631	AS09scLD_249	Chloroflexi bacterium	
GCA_012512005.1	Contig	JAAZEY000000000	SAMN13894655	AS10tlH2TH_133	Chloroflexi bacterium	
GCA_012510905.1	Contig	JAAZHC000000000	SAMN13894711	AS15tlH2ME_173	Chloroflexi bacterium	
GCA_012797085.1	Contig	JAAZPT000000000	SAMN13894945	AS4LglBPNY_28	Christensenellaceae bacterium	
GCA_012837835.1	Contig	DUQK00000000	SAMN13893839	AS08sgBPME_399	Christensenellaceae bacterium	
GCA_012518615.1	Contig	JAAYRU000000000	SAMN13894195	AS23ysBPME_237	Christensenellaceae bacterium	
GCA_012719815.1	Contig	JAAXZP000000000	SAMN13893544	AS01afH2WH_49	Christensenellaceae bacterium	
GCA_012517255.1	Contig	JAAYVH000000000	SAMN13894304	AS27yjCOA_40	Chthonomonadales bacterium	
GCA_012720075.1	Contig	JAAXZE000000000	SAMN13893533	AS01afH2WH_13	Clostridia bacterium	
GCA_012728695.1	Contig	JAAYEP000000000	SAMN13893739	AS07pgkLD_159	Clostridia bacterium	
GCA_012727745.1	Contig	JAAYGJ000000000	SAMN13893885	AS09scLD_21	Clostridia bacterium	
GCA_012523575.1	Contig	JAAYIF000000000	SAMN13893946	AS09scLD_70	Clostridia bacterium	
GCA_012523505.1	Contig	JAAYIJ000000000	SAMN13893950	AS09scLD_82	Clostridia bacterium	
GCA_012523855.1	Contig	JAAYTB000000000	SAMN13894228	AS23ysBPME_66	Clostridia bacterium	
GCA_012519005.1	Contig	JAAYRB000000000	SAMN13894176	AS23ysBPME_144	Clostridia bacterium	
GCA_012520135.1	Contig	JAAYOX000000000	SAMN13894120	AS22ysBPME_114	Clostridia bacterium	
GCA_012512425.1	Contig	JAAZEG000000000	SAMN13894637	AS09scLD_280	Clostridia bacterium	
GCA_012515255.1	Contig	JAAYYR000000000	SAMN13894430	AS06rmzACSIP_243	Clostridia bacterium	
GCA_012515365.1	Contig	JAAYYM000000000	SAMN13894425	AS06rmzACSIP_230	Clostridia bacterium	
GCA_012512955.1	Contig	JAAZDD000000000	SAMN13894608	AS09scLD_108	Clostridia bacterium	
GCA_012842625.1	Contig	DUSM00000000	SAMN13894362	AS04akNAM_17	Clostridia bacterium	
GCA_012843035.1	Contig	DURS00000000	SAMN13894253	AS25fmACSIPFO_85	Clostridia bacterium	
GCA_012841435.1	Contig	DUUQ00000000	SAMN13894569	AS08sgBPME_235	Clostridia bacterium	
GCA_012841895.1	Contig	DUTW00000000	SAMN13894549	AS08sgBPME_127	Clostridia bacterium	
GCA_012842035.1	Contig	DUTO00000000	SAMN13894390	AS05jafATM_84	Clostridia bacterium	
GCA_012841935.1	Contig	DUTS00000000	SAMN13894545	AS08sgBPME_103	Clostridia bacterium	
GCA_012842575.1	Contig	DUSP00000000	SAMN13894365	AS04akNAM_48	Clostridia bacterium	
GCA_012840485.1	Contig	DULG00000000	SAMN13893563	AS04akNAM_103	Clostridia bacterium	
GCA_012840125.1	Contig	DULZ00000000	SAMN13893582	AS04akNAM_29	Clostridia bacterium	
GCA_012840065.1	Contig	DUMD00000000	SAMN13893586	AS04akNAM_38	Clostridia bacterium	
GCA_012838615.1	Contig	DUOV00000000	SAMN13893798	AS08sgBPME_225	Clostridia bacterium	
GCA_012838175.1	Contig	DUPU00000000	SAMN13893823	AS08sgBPME_346	Clostridia bacterium	
GCA_012800195.1	Contig	JAAZJU000000000	SAMN13894781	AS21ysBPME_41	Clostridia bacterium	
GCA_012800765.1	Contig	JAAZIR000000000	SAMN13894752	AS20ysBPTH_78	Clostridia bacterium	
GCA_012800045.1	Contig	JAAZKB000000000	SAMN13894788	AS22ysBPME_180	Clostridia bacterium	
GCA_012799845.1	Contig	JAAZKL000000000	SAMN13894798	AS22ysBPME_286	Clostridiaceae bacterium	
GCA_012800135.1	Contig	JAAZJV000000000	SAMN13894782	AS21ysBPME_51	Clostridiaceae bacterium	
GCA_012799695.1	Contig	JAAZKT000000000	SAMN13894806	AS22ysBPME_67	Clostridiaceae bacterium	
GCA_012799825.1	Contig	JAAZKK000000000	SAMN13894797	AS22ysBPME_250	Clostridiaceae bacterium	
GCA_012799505.1	Contig	JAAZLC000000000	SAMN13894815	AS23ysBPME_158	Clostridiaceae bacterium	
GCA_012798865.1	Contig	JAAZMK000000000	SAMN13894849	AS23ysBPME_357	Clostridiaceae bacterium	
GCA_012800655.1	Contig	JAAZIX000000000	SAMN13894758	AS21ysBPME_159	Clostridiaceae bacterium	
GCA_012800515.1	Contig	JAAZJE000000000	SAMN13894765	AS21ysBPME_209	Clostridiaceae bacterium	
GCA_012800445.1	Contig	JAAZJG000000000	SAMN13894767	AS21ysBPME_213	Clostridiaceae bacterium	
GCA_012800435.1	Contig	JAAZJH000000000	SAMN13894768	AS21ysBPME_217	Clostridiaceae bacterium	
GCA_012798655.1	Contig	JAAZMV000000000	SAMN13894860	AS24abBPME_53	Clostridiaceae bacterium	
GCA_012838135.1	Contig	DUPV00000000	SAMN13893824	AS08sgBPME_347	Clostridiaceae bacterium	
GCA_012838235.1	Contig	DUPQ00000000	SAMN13893819	AS08sgBPME_331	Clostridiaceae bacterium	
GCA_012838475.1	Contig	DUPE00000000	SAMN13893807	AS08sgBPME_280	Clostridiaceae bacterium	
GCA_012838385.1	Contig	DUPL00000000	SAMN13893814	AS08sgBPME_307	Clostridiaceae bacterium	
GCA_012838355.1	Contig	DUPJ00000000	SAMN13893812	AS08sgBPME_294	Clostridiaceae bacterium	
GCA_012838315.1	Contig	DUPM00000000	SAMN13893815	AS08sgBPME_309	Clostridiaceae bacterium	
GCA_012838795.1	Contig	DUOO00000000	SAMN13893791	AS08sgBPME_186	Clostridiaceae bacterium	
GCA_012839385.1	Contig	DUNL00000000	SAMN13893620	AS05jafATM_70	Clostridiaceae bacterium	
GCA_012839205.1	Contig	DUNT00000000	SAMN13893770	AS08sgBPME_110	Clostridiaceae bacterium	
GCA_012840085.1	Contig	DUMB00000000	SAMN13893584	AS04akNAM_34	Clostridiaceae bacterium	
GCA_012840075.1	Contig	DUMC00000000	SAMN13893585	AS04akNAM_37	Clostridiaceae bacterium	
GCA_012840395.1	Contig	DULL00000000	SAMN13893568	AS04akNAM_113	Clostridiaceae bacterium	
GCA_012840245.1	Contig	DULR00000000	SAMN13893574	AS04akNAM_130	Clostridiaceae bacterium	
GCA_012839865.1	Contig	DUMO00000000	SAMN13893597	AS04akNAM_68	Clostridiaceae bacterium	
GCA_012841145.1	Contig	DUVH00000000	SAMN13894586	AS08sgBPME_361	Clostridiaceae bacterium	
GCA_012841015.1	Contig	DUVN00000000	SAMN13894592	AS08sgBPME_403	Clostridiaceae bacterium	
GCA_012840535.1	Contig	DULF00000000	SAMN13893562	AS04akNAM_100	Clostridiaceae bacterium	
GCA_012842145.1	Contig	DUTJ00000000	SAMN13894385	AS05jafATM_59	Clostridiaceae bacterium	
GCA_012841345.1	Contig	DUUW00000000	SAMN13894575	AS08sgBPME_286	Clostridiaceae bacterium	
GCA_012841255.1	Contig	DUUZ00000000	SAMN13894578	AS08sgBPME_299	Clostridiaceae bacterium	
GCA_012842645.1	Contig	DUSJ00000000	SAMN13894359	AS04akNAM_121	Clostridiaceae bacterium	
GCA_012512865.1	Contig	JAAZDH000000000	SAMN13894612	AS09scLD_118	Clostridiaceae bacterium	
GCA_012513065.1	Contig	JAAZCX000000000	SAMN13894540	AS07pgkLD_81	Clostridiaceae bacterium	
GCA_012513135.1	Contig	JAAZCW000000000	SAMN13894539	AS07pgkLD_51	Clostridiaceae bacterium	
GCA_012513545.1	Contig	JAAZCB000000000	SAMN13894518	AS06rmzACSIP_92	Clostridiaceae bacterium	
GCA_012515025.1	Contig	JAAYZD000000000	SAMN13894442	AS06rmzACSIP_287	Clostridiaceae bacterium	
GCA_012514965.1	Contig	JAAYZH000000000	SAMN13894446	AS06rmzACSIP_306	Clostridiaceae bacterium	
GCA_012514215.1	Contig	JAAZAS000000000	SAMN13894483	AS06rmzACSIP_448	Clostridiaceae bacterium	
GCA_012512695.1	Contig	JAAZDQ000000000	SAMN13894621	AS09scLD_167	Clostridiaceae bacterium	
GCA_012512035.1	Contig	JAAZEX000000000	SAMN13894654	AS10tlH2TH_132	Clostridiaceae bacterium	
GCA_012511915.1	Contig	JAAZFB000000000	SAMN13894658	AS10tlH2TH_150	Clostridiaceae bacterium	
GCA_012511735.1	Contig	JAAZFK000000000	SAMN13894667	AS10tlH2TH_208	Clostridiaceae bacterium	
GCA_012511525.1	Contig	JAAZFW000000000	SAMN13894679	AS10tlH2TH_285	Clostridiaceae bacterium	
GCA_012511565.1	Contig	JAAZFU000000000	SAMN13894677	AS10tlH2TH_254	Clostridiaceae bacterium	
GCA_012511295.1	Contig	JAAZGJ000000000	SAMN13894692	AS10tlH2TH_372	Clostridiaceae bacterium	
GCA_012511185.1	Contig	JAAZGN000000000	SAMN13894696	AS10tlH2TH_388	Clostridiaceae bacterium	
GCA_012519875.1	Contig	JAAYPL000000000	SAMN13894134	AS22ysBPME_212	Clostridiaceae bacterium	
GCA_012519925.1	Contig	JAAYPF000000000	SAMN13894128	AS22ysBPME_170	Clostridiaceae bacterium	
GCA_012519655.1	Contig	JAAYPS000000000	SAMN13894141	AS22ysBPME_277	Clostridiaceae bacterium	
GCA_012520525.1	Contig	JAAYOA000000000	SAMN13894097	AS21ysBPME_306	Clostridiaceae bacterium	
GCA_012520615.1	Contig	JAAYNX000000000	SAMN13894094	AS21ysBPME_283	Clostridiaceae bacterium	
GCA_012520855.1	Contig	JAAYNO000000000	SAMN13894085	AS21ysBPME_216	Clostridiaceae bacterium	
GCA_012519085.1	Contig	JAAYQX000000000	SAMN13894172	AS23ysBPME_119	Clostridiaceae bacterium	
GCA_012518845.1	Contig	JAAYRJ000000000	SAMN13894184	AS23ysBPME_182	Clostridiaceae bacterium	
GCA_012518795.1	Contig	JAAYRL000000000	SAMN13894186	AS23ysBPME_19	Clostridiaceae bacterium	
GCA_012519745.1	Contig	JAAYPO000000000	SAMN13894137	AS22ysBPME_234	Clostridiaceae bacterium	
GCA_012516635.1	Contig	JAAYWM000000000	SAMN13894335	AS4GglBPBL_10	Clostridiaceae bacterium	
GCA_012518025.1	Contig	JAAYTP000000000	SAMN13894242	AS24abBPME_51	Clostridiaceae bacterium	
GCA_012515675.1	Contig	JAAYXW000000000	SAMN13894409	AS06rmzACSIP_189	Clostridiaceae bacterium	
GCA_012516065.1	Contig	JAAYXD000000000	SAMN13894352	AS02xzSISU_46	Clostridiaceae bacterium	
GCA_012510955.1	Contig	JAAZGZ000000000	SAMN13894708	AS15tlH2ME_127	Clostridiaceae bacterium	
GCA_012510985.1	Contig	JAAZGY000000000	SAMN13894707	AS15tlH2ME_116	Clostridiaceae bacterium	
GCA_012523725.1	Contig	JAAYTQ000000000	SAMN13894243	AS24abBPME_62	Clostridiaceae bacterium	
GCA_012523705.1	Contig	JAAYTU000000000	SAMN13894247	AS24abBPME_94	Clostridiaceae bacterium	
GCA_012523685.1	Contig	JAAYTR000000000	SAMN13894244	AS24abBPME_63	Clostridiaceae bacterium	
GCA_012523365.1	Contig	JAAYIQ000000000	SAMN13893957	AS10tlH2TH_129	Clostridiaceae bacterium	
GCA_012522435.1	Contig	JAAYKK000000000	SAMN13894003	AS10tlH2TH_42	Clostridiaceae bacterium	
GCA_012522505.1	Contig	JAAYKJ000000000	SAMN13894002	AS10tlH2TH_408	Clostridiaceae bacterium	
GCA_012523135.1	Contig	JAAYJD000000000	SAMN13893970	AS10tlH2TH_219	Clostridiaceae bacterium	
GCA_012520975.1	Contig	JAAYNF000000000	SAMN13894076	AS21ysBPME_118	Clostridiaceae bacterium	
GCA_012521015.1	Contig	JAAYNE000000000	SAMN13894075	AS21ysBPME_111	Clostridiaceae bacterium	
GCA_012521105.1	Contig	JAAYNA000000000	SAMN13894071	AS20ysBPTH_8	Clostridiaceae bacterium	
GCA_012521075.1	Contig	JAAYMY000000000	SAMN13894069	AS20ysBPTH_68	Clostridiaceae bacterium	
GCA_012521455.1	Contig	JAAYMJ000000000	SAMN13894054	AS20ysBPTH_182	Clostridiaceae bacterium	
GCA_012521615.1	Contig	JAAYMA000000000	SAMN13894045	AS20ysBPTH_144	Clostridiaceae bacterium	
GCA_012521705.1	Contig	JAAYLX000000000	SAMN13894042	AS20ysBPTH_124	Clostridiaceae bacterium	
GCA_012522285.1	Contig	JAAYKS000000000	SAMN13894011	AS10tlH2TH_63	Clostridiaceae bacterium	
GCA_012522035.1	Contig	JAAYLF000000000	SAMN13894024	AS15tlH2ME_177	Clostridiaceae bacterium	
GCA_012727845.1	Contig	JAAYGF000000000	SAMN13893881	AS09scLD_202	Clostridiaceae bacterium	
GCA_012727625.1	Contig	JAAYGP000000000	SAMN13893891	AS09scLD_248	Clostridiaceae bacterium	
GCA_012728015.1	Contig	JAAYFY000000000	SAMN13893874	AS09scLD_132	Clostridiaceae bacterium	
GCA_012727965.1	Contig	JAAYFZ000000000	SAMN13893875	AS09scLD_136	Clostridiaceae bacterium	
GCA_012728095.1	Contig	JAAYFU000000000	SAMN13893870	AS09scLD_113	Clostridiaceae bacterium	
GCA_012728275.1	Contig	JAAYFK000000000	SAMN13893760	AS07pgkLD_61	Clostridiaceae bacterium	
GCA_012728535.1	Contig	JAAYEX000000000	SAMN13893747	AS07pgkLD_225	Clostridiaceae bacterium	
GCA_012728495.1	Contig	JAAYEZ000000000	SAMN13893749	AS07pgkLD_231	Clostridiaceae bacterium	
GCA_012729635.1	Contig	JAAYCT000000000	SAMN13893691	AS06rmzACSIP_487	Clostridiaceae bacterium	
GCA_012729955.1	Contig	JAAYBX000000000	SAMN13893669	AS06rmzACSIP_360	Clostridiaceae bacterium	
GCA_012729935.1	Contig	JAAYBY000000000	SAMN13893670	AS06rmzACSIP_365	Clostridiaceae bacterium	
GCA_012730015.1	Contig	JAAYBT000000000	SAMN13893665	AS06rmzACSIP_356	Clostridiaceae bacterium	
GCA_012730095.1	Contig	JAAYBO000000000	SAMN13893660	AS06rmzACSIP_332	Clostridiaceae bacterium	
GCA_012735465.1	Contig	JAAYHJ000000000	SAMN13893911	AS09scLD_371	Clostridiaceae bacterium	
GCA_012744235.1	Contig	JAAYHZ000000000	SAMN13893927	AS09scLD_42	Clostridiaceae bacterium	
GCA_012719645.1	Contig	JAAXZX000000000	SAMN13893552	AS02xzSISU_47	Clostridiaceae bacterium	
GCA_012719545.1	Contig	JAAYAD000000000	SAMN13893558	AS02xzSISU_79	Clostridiaceae bacterium	
GCA_012718915.1	Contig	JAAYBI000000000	SAMN13893654	AS06rmzACSIP_271	Clostridiaceae bacterium	
GCA_012521055.1	Contig	JAAYNC000000000	SAMN13894073	AS21ysBPME_109	Clostridiales Family XIII bacterium	
GCA_012521085.1	Contig	JAAYNB000000000	SAMN13894072	AS21ysBPME_102	Clostridiales bacterium	
GCA_012521555.1	Contig	JAAYMC000000000	SAMN13894047	AS20ysBPTH_149	Clostridiales bacterium	
GCA_012521525.1	Contig	JAAYMG000000000	SAMN13894051	AS20ysBPTH_165	Clostridiales bacterium	
GCA_012521505.1	Contig	JAAYMF000000000	SAMN13894050	AS20ysBPTH_16	Clostridiales bacterium	
GCA_012521235.1	Contig	JAAYMT000000000	SAMN13894064	AS20ysBPTH_47	Clostridiales bacterium	
GCA_012521375.1	Contig	JAAYMO000000000	SAMN13894059	AS20ysBPTH_38	Clostridiales bacterium	
GCA_012522015.1	Contig	JAAYLD000000000	SAMN13894022	AS15tlH2ME_14	Clostridiales bacterium	
GCA_012522255.1	Contig	JAAYKT000000000	SAMN13894012	AS10tlH2TH_72	Clostridiales bacterium	
GCA_012521925.1	Contig	JAAYLL000000000	SAMN13894030	AS15tlH2ME_237	Clostridiales bacterium	
GCA_012521895.1	Contig	JAAYLK000000000	SAMN13894029	AS15tlH2ME_231	Clostridiales bacterium	
GCA_012522165.1	Contig	JAAYKZ000000000	SAMN13894018	AS15tlH2ME_109	Clostridiales bacterium	
GCA_012523185.1	Contig	JAAYIY000000000	SAMN13893965	AS10tlH2TH_171	Clostridiales bacterium	
