"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX4072483","metatranscriptome of peat: 20120600_S2M","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288911","","3063.65","1","27796203","6856649067","transcriptome.nextseq.20120600_S2M","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072482","metatranscriptome of peat: 20120600_P2M","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288902","","3664.31","1","45796822","7887261320","transcriptome.nextseq.20120600_P2M","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072481","metatranscriptome of peat: 20120600_S2D","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288912","","5361.2","1","45207553","11997855864","transcriptome.nextseq.20120600_S2D","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072480","metatranscriptome of peat: 20120600_E1M","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288976","","7896.77","1","68629996","16194281875","transcriptome.nextseq.20120600_E1M","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072479","metatranscriptome of peat: 20120600_E1M","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288976","","2321.87","1","25990402","6549581304","transcriptome.hiseq.20120600_E1M","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072478","metatranscriptome of peat: 20120600_E1D","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288950","","7311.66","1","55166952","15227869454","transcriptome.nextseq.20120600_E1D","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072477","metatranscriptome of peat: 20120600_E1D","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288950","","2118.51","1","23522904","5927771808","transcriptome.hiseq.20120600_E1D","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072476","metatranscriptome of peat: 20120700_S1D","peat metagenome","Illumina MiSeq","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289039","","439.19","1","1273524","741190968","transcriptome.miseq.20120700_S1D","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072475","metatranscriptome of peat: 20120700_S1S","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289041","","2407.11","1","27065386","6820477272","transcriptome.hiseq.20120700_S1S","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072474","metatranscriptome of peat: 20120700_S2M","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289076","","9154.39","1","67340996","18960002484","transcriptome.nextseq.20120700_S2M","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072473","metatranscriptome of peat: 20120700_S2M","peat metagenome","Illumina MiSeq","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289076","","497.16","1","1450396","844130472","transcriptome.miseq.20120700_S2M","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072472","metatranscriptome of peat: 20120800_E2D","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288933","","4918.17","1","40365255","10816644000","transcriptome.nextseq.20120800_E2D","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072471","metatranscriptome of peat: 20120800_E2D","peat metagenome","Illumina MiSeq","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288933","","331.47","1","959105","558199110","transcriptome.miseq.20120800_E2D","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072470","metatranscriptome of peat: 20120800_E2M","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288981","","9447.73","1","77405687","20751987724","transcriptome.nextseq.20120800_E2M","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072469","metatranscriptome of peat: 20120800_E2M","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288981","","2946.97","1","32558475","8204735700","transcriptome.hiseq.20120800_E2M","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072468","metatranscriptome of peat: 20120800_E2S","peat metagenome","Illumina MiSeq","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288982","","384.83","1","1137123","661805586","transcriptome.miseq.20120800_E2S","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072467","metatranscriptome of peat: 20120800_E3D","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288980","","10159.92","1","97964506","20922022820","transcriptome.nextseq.20120800_E3D","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072466","metatranscriptome of peat: 20110600_E1M","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289052","","8617.99","1","67404475","18624018314","transcriptome.nextseq.20110600_E1M","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072465","metatranscriptome of peat: 20110600_E1M","peat metagenome","Illumina MiSeq","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289052","","491.73","1","1447135","842232570","transcriptome.miseq.20110600_E1M","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072464","metatranscriptome of peat: 20110600_E1D","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289075","","8937.94","1","73205469","19211749299","transcriptome.nextseq.20110600_E1D","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072463","metatranscriptome of peat: 20110600_E1D","peat metagenome","Illumina MiSeq","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289075","","622.62","1","1823112","1061051184","transcriptome.miseq.20110600_E1D","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072462","metatranscriptome of peat: 20100900_E2S","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289035","","8687.17","1","67214037","18194548417","transcriptome.nextseq.20101000_E2S","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072461","metatranscriptome of peat: 20100900_E2S","peat metagenome","Illumina MiSeq","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289035","","354.57","1","1049540","610832280","transcriptome.miseq.20101000_E2S","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072460","metatranscriptome of peat: 20100900_E1D","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288991","","5152.04","1","44951467","11657615380","transcriptome.nextseq.20101000_E1D","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072459","metatranscriptome of peat: 20100900_E1D","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288991","","1926.35","1","21436776","5402067552","transcriptome.hiseq.20101000_E1D","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072458","metatranscriptome of peat: 20110600_E1S","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288960","","3699.57","1","31882725","8782364241","transcriptome.nextseq.20110600_E1S","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072457","metatranscriptome of peat: 20110700_E1D","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288874","","6735.66","1","58019846","15217415261","transcriptome.nextseq.20110700_E1D","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4071232","metagenome of peat: 20110600_E1D","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289075","","1048.12","1","8736914","2625811501","20110600_E1D.20140910.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071231","metagenome of peat: 20110800_S2S","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289080","","2298.37","1","29659320","5931864000","20110800_S2S..NA","WGS","METAGENOMIC","RANDOM"
"SRX4071230","metagenome of peat: 20120700_P3M","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289073","","1252.45","1","14145898","2857471396","20120700_P3M.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071229","metagenome of peat: 20120700_P3S","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289074","","1352.64","1","15967724","3225480248","20120700_P3S.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071228","metagenome of peat: 20120700_S1D","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289039","","1552.13","1","17562922","3547710244","20120700_S1D.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071227","metagenome of peat: 20120700_S1D","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289039","","4592.62","1","49225916","12404930832","20120700_S1D..1","WGS","METAGENOMIC","RANDOM"
"SRX4071226","metagenome of peat: 20120700_P3D","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289046","","4768.83","1","49343420","12434541840","20120700_P3D..5","WGS","METAGENOMIC","RANDOM"
"SRX4071225","metagenome of peat: 20120700_P3D","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289046","","4573.66","1","48144983","12132535716","20120700_P3D..6","WGS","METAGENOMIC","RANDOM"
"SRX4071224","metagenome of peat: 20120700_P3D","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289046","","6330.15","1","47975323","14438308724","20120700_P3D.20140923.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071223","metagenome of peat: 20120700_P3D","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289046","","6142.61","1","45674356","13745399365","20120700_P3D.20140929.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071222","metagenome of peat: 20120700_S1D","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289039","","4698.22","1","50176011","12644354772","20120700_S1D..2","WGS","METAGENOMIC","RANDOM"
"SRX4071221","metagenome of peat: 20120700_S1D","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289039","","4440.09","1","47346759","11931383268","20120700_S1D..3","WGS","METAGENOMIC","RANDOM"
"SRX4071220","metagenome of peat: 20120700_E1X","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289072","","1084.34","1","13431721","2713207642","20120700_E1X.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071219","metagenome of peat: 20120700_E1S","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289069","","1371.17","1","16269814","3286502428","20120700_E1S.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071218","metagenome of peat: 20120700_E2S","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289070","","1030.24","1","12545366","2534163932","20120700_E2S.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071217","metagenome of peat: 20120700_E2D","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289071","","2123.69","1","22924151","5776886052","20120700_E2D.20140723.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071216","metagenome of peat: 20120600_S3S","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289066","","1721.17","1","20153424","4070991648","20120600_S3S.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071215","metagenome of peat: 20120600_S3M","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289065","","1246.23","1","14558428","2940802456","20120600_S3M.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071214","metagenome of peat: 20120700_E1M","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289064","","991.55","1","12137796","2451834792","20120700_E1M.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071213","metagenome of peat: 20120700_E1D","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289063","","1185.87","1","14091932","2846570264","20120700_E1D.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071212","metagenome of peat: 20120700_E2X","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288878","","6260.93","1","66679203","16803159156","20120700_E2X..1","WGS","METAGENOMIC","RANDOM"
"SRX4071211","metagenome of peat: 20120700_E2X","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288878","","995.51","1","12098968","2443991536","20120700_E2X.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071210","metagenome of peat: 20110700_P1D","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289062","","2546.1","1","19903804","6010948808","20110700_P1D..NA","WGS","METAGENOMIC","RANDOM"
"SRX4071209","metagenome of peat: 20110700_P1M","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289061","","1540.59","1","12867789","3868055864","20110700_P1M.20140910.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071208","metagenome of peat: 20110700_E3M","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289060","","3397.55","1","26397827","7900351261","20110700_E3M.20140903.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071207","metagenome of peat: 20110700_E3S","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289079","","1940.06","1","14833320","4449754276","20110700_E3S.20140903.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071206","metagenome of peat: 20110700_E2S","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289059","","1349.91","1","11053269","3320892453","20110700_E2S.20140910.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071205","metagenome of peat: 20110700_E3D","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289058","","1260.86","1","9621461","2891860552","20110700_E3D.20140903.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071204","metagenome of peat: 20110700_E2D","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289057","","1795.49","1","14707667","4422988926","20110700_E2D.20140910.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071203","metagenome of peat: 20110700_E2M","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289055","","1540.03","1","13049392","3835978496","20110700_E2M.20140910.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071202","metagenome of peat: 20100900_E3S","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289056","","7907.86","1","58388028","11677605600","20100900_E3S.20100901.raw.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071201","metagenome of peat: 20110700_P1S","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289054","","1734.54","1","14591160","4381711275","20110700_P1S.20140910.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071200","metagenome of peat: 20110700_P2D","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289053","","5382.76","1","40192920","12065674041","20110700_P2D.20140916.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071199","metagenome of peat: 20120700_P3D","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289046","","4588.36","1","48197737","12145829724","20120700_P3D..3","WGS","METAGENOMIC","RANDOM"
"SRX4071198","metagenome of peat: 20120700_P3D","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289046","","4491.26","1","47215780","11898376560","20120700_P3D..4","WGS","METAGENOMIC","RANDOM"
"SRX4071197","metagenome of peat: 20110600_E1M","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289052","","1500.4","1","12392710","3722404932","20110600_E1M.20140910.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071196","metagenome of peat: 20120700_P1M","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289051","","1921.37","1","20758095","5231039940","20120700_P1M.20140723.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071195","metagenome of peat: 20120700_P1S","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289050","","1305.7","1","15400383","3110877366","20120700_P1S.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071194","metagenome of peat: 20120700_P2D","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289049","","1376.4","1","16265110","3285552220","20120700_P2D.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071193","metagenome of peat: 20120700_P2M","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289048","","1471.31","1","16648759","3363049318","20120700_P2M.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071192","metagenome of peat: 20120700_P2S","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289047","","978.6","1","11560017","2335123434","20120700_P2S.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071191","metagenome of peat: 20120700_P3D","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289046","","1491.41","1","16636933","3360660466","20120700_P3D.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071190","metagenome of peat: 20120700_P3D","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289046","","4698.8","1","49639790","12509227080","20120700_P3D..1","WGS","METAGENOMIC","RANDOM"
"SRX4071189","metagenome of peat: 20120700_P3D","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289046","","4865.19","1","51122063","12882759876","20120700_P3D..2","WGS","METAGENOMIC","RANDOM"
"SRX4071188","metagenome of peat: 20120700_S1D","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289039","","7257.59","1","56032447","16859546108","20120700_S1D.20140923.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071187","metagenome of peat: 20120700_S1D","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289039","","4495.82","1","48131154","12129050808","20120700_S1D..6","WGS","METAGENOMIC","RANDOM"
"SRX4071186","metagenome of peat: 20120700_S1D","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289039","","4573.32","1","47966251","12087495252","20120700_S1D..5","WGS","METAGENOMIC","RANDOM"
"SRX4071185","metagenome of peat: 20120700_S1D","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289039","","4340.27","1","46329025","11674914300","20120700_S1D..4","WGS","METAGENOMIC","RANDOM"
"SRX4071184","metagenome of peat: 20120700_S1X","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289042","","1958.27","1","22169764","4478292328","20120700_S1X.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071183","metagenome of peat: 20120700_S1S","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289041","","2470.41","1","26658929","6718050108","20120700_S1S.20140723.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071182","metagenome of peat: 20120700_S1M","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289040","","1969.82","1","15295680","4602765688","20120700_S1M.20150213.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071181","metagenome of peat: 20120700_S1D","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289039","","7078.68","1","53602303","16127896916","20120700_S1D.20140929.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071180","metagenome of peat: 20120800_S1S","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289038","","1446.64","1","17122903","3458826406","20120800_S1S.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071179","metagenome of peat: 20120700_S2M","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289076","","1181.85","1","13920642","2811969684","20120700_S2M.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071178","metagenome of peat: 20120700_S2D","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289037","","1271.96","1","15013744","3032776288","20120700_S2D.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071177","metagenome of peat: 20111000_E3S","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289036","","1817.93","1","13678794","4113451443","20111000_E3S.20140916.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071176","metagenome of peat: 20100900_E2S","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289035","","9386.15","1","69337788","13867557600","20100900_E2S.20100901.raw.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071175","metagenome of peat: 20120500_P18","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289034","","1007.5","1","11309300","2284478600","20120500_P18.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071174","metagenome of peat: 20120500_P19","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289078","","2303.47","1","25802884","6502326768","20120500_P19.20140723.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071173","metagenome of peat: 20120500_P21","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289033","","1382.95","1","15567641","3144663482","20120500_P21.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071172","metagenome of peat: 20120500_P22","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289031","","1653.97","1","18569396","3751017992","20120500_P22.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071171","metagenome of peat: 20120500_P23","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289032","","1719.1","1","19311618","3900946836","20120500_P23.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071170","metagenome of peat: 20120500_P24","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289030","","1689.45","1","18940991","3826080182","20120500_P24.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071169","metagenome of peat: 20120500_P25","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289029","","1832.4","1","20572045","4155553090","20120500_P25.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071168","metagenome of peat: 20120500_P26","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289067","","2009.76","1","22615733","4568378066","20120500_P26.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071167","metagenome of peat: 20120500_P27","peat metagenome","Illumina HiSeq 2500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289068","","1246.97","1","14019560","2831951120","20120500_P27.20140516.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071166","metagenome of peat: 20120500_P28","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289028","","2018.14","1","22192308","5592461616","20120500_P28.20140723.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071165","metagenome of peat: 20110700_P3M","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289027","","3188.74","1","24301222","7301614189","20110700_P3M.20140916.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071164","metagenome of peat: 20110700_P3D","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289024","","2234.45","1","16880332","5078209495","20110700_P3D.20140916.NA","WGS","METAGENOMIC","RANDOM"
"SRX4071163","metagenome of peat: 20110700_P2S","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289025","","1787.99","1","14847224","4466151111","20110700_P2S.20140910.NA","WGS","METAGENOMIC","RANDOM"
